Dataset,DNN,CMR,FT(%)
MNIST,MNIST_AlexNet_9938,346,5.094043887147335
MNIST,MNIST_AlexNet_9938,350,1.2539184952978055
MNIST,MNIST_AlexNet_9938,351,3.213166144200627
MNIST,MNIST_AlexNet_9938,352,1.4106583072100314
MNIST,MNIST_AlexNet_9938,354,4.231974921630094
MNIST,MNIST_AlexNet_9938,356,2.8996865203761755
MNIST,MNIST_AlexNet_9938,360,2.3510971786833856
MNIST,MNIST_AlexNet_9938,361,3.918495297805643
MNIST,MNIST_AlexNet_9938,362,2.664576802507837
MNIST,MNIST_AlexNet_9938,364,4.545454545454546
MNIST,MNIST_AlexNet_9938,365,2.978056426332288
MNIST,MNIST_AlexNet_9938,401,12.695924764890282
MNIST,MNIST_AlexNet_9938,402,7.210031347962382
MNIST,MNIST_AlexNet_9938,403,3.213166144200627
MNIST,MNIST_AlexNet_9938,405,8.934169278996865
MNIST,MNIST_AlexNet_9938,406,12.225705329153605
MNIST,MNIST_AlexNet_9938,410,12.774294670846395
MNIST,MNIST_AlexNet_9938,412,15.360501567398119
MNIST,MNIST_AlexNet_9938,413,17.319749216300938
MNIST,MNIST_AlexNet_9938,415,17.63322884012539
MNIST,MNIST_AlexNet_9938,416,19.122257053291534
MNIST,MNIST_AlexNet_9938,420,7.366771159874608
MNIST,MNIST_AlexNet_9938,421,15.282131661442005
MNIST,MNIST_AlexNet_9938,423,3.4482758620689653
MNIST,MNIST_AlexNet_9938,425,8.934169278996865
MNIST,MNIST_AlexNet_9938,426,11.128526645768025
MNIST,MNIST_AlexNet_9938,430,3.605015673981191
MNIST,MNIST_AlexNet_9938,431,18.730407523510973
MNIST,MNIST_AlexNet_9938,432,3.4482758620689653
MNIST,MNIST_AlexNet_9938,435,3.918495297805643
MNIST,MNIST_AlexNet_9938,436,4.93730407523511
MNIST,MNIST_AlexNet_9938,450,8.5423197492163
MNIST,MNIST_AlexNet_9938,451,17.398119122257054
MNIST,MNIST_AlexNet_9938,452,9.169278996865204
MNIST,MNIST_AlexNet_9938,453,3.1347962382445136
MNIST,MNIST_AlexNet_9938,456,17.0846394984326
MNIST,MNIST_AlexNet_9938,460,11.52037617554859
MNIST,MNIST_AlexNet_9938,461,19.043887147335422
MNIST,MNIST_AlexNet_9938,462,11.285266457680251
MNIST,MNIST_AlexNet_9938,463,3.526645768025078
MNIST,MNIST_AlexNet_9938,465,17.711598746081506
MNIST,MNIST_AlexNet_9938,501,5.172413793103448
MNIST,MNIST_AlexNet_9938,502,5.015673981191222
MNIST,MNIST_AlexNet_9938,503,1.1755485893416928
MNIST,MNIST_AlexNet_9938,504,8.855799373040753
MNIST,MNIST_AlexNet_9938,506,17.163009404388717
MNIST,MNIST_AlexNet_9938,510,5.172413793103448
MNIST,MNIST_AlexNet_9938,512,5.4858934169279
MNIST,MNIST_AlexNet_9938,513,2.978056426332288
MNIST,MNIST_AlexNet_9938,514,17.163009404388717
MNIST,MNIST_AlexNet_9938,516,17.398119122257054
MNIST,MNIST_AlexNet_9938,520,4.93730407523511
MNIST,MNIST_AlexNet_9938,521,5.6426332288401255
MNIST,MNIST_AlexNet_9938,523,0.9404388714733543
MNIST,MNIST_AlexNet_9938,524,9.247648902821316
MNIST,MNIST_AlexNet_9938,526,15.282131661442005
MNIST,MNIST_AlexNet_9938,530,1.09717868338558
MNIST,MNIST_AlexNet_9938,531,3.0564263322884013
MNIST,MNIST_AlexNet_9938,532,1.018808777429467
MNIST,MNIST_AlexNet_9938,534,3.2915360501567394
MNIST,MNIST_AlexNet_9938,536,2.3510971786833856
MNIST,MNIST_AlexNet_9938,540,8.699059561128527
MNIST,MNIST_AlexNet_9938,541,16.927899686520377
MNIST,MNIST_AlexNet_9938,542,9.717868338557993
MNIST,MNIST_AlexNet_9938,543,3.605015673981191
MNIST,MNIST_AlexNet_9938,546,16.30094043887147
MNIST,MNIST_AlexNet_9938,560,13.793103448275861
MNIST,MNIST_AlexNet_9938,561,17.163009404388717
MNIST,MNIST_AlexNet_9938,562,15.752351097178682
MNIST,MNIST_AlexNet_9938,563,1.489028213166144
MNIST,MNIST_AlexNet_9938,564,16.69278996865204
MNIST,MNIST_AlexNet_9938,601,8.620689655172415
MNIST,MNIST_AlexNet_9938,602,8.620689655172415
MNIST,MNIST_AlexNet_9938,603,1.6457680250783697
MNIST,MNIST_AlexNet_9938,604,10.893416927899686
MNIST,MNIST_AlexNet_9938,605,17.0846394984326
MNIST,MNIST_AlexNet_9938,610,8.620689655172415
MNIST,MNIST_AlexNet_9938,612,8.072100313479623
MNIST,MNIST_AlexNet_9938,613,3.4482758620689653
MNIST,MNIST_AlexNet_9938,614,19.122257053291534
MNIST,MNIST_AlexNet_9938,615,17.55485893416928
MNIST,MNIST_AlexNet_9938,620,8.934169278996865
MNIST,MNIST_AlexNet_9938,621,8.072100313479623
MNIST,MNIST_AlexNet_9938,623,1.9592476489028214
MNIST,MNIST_AlexNet_9938,624,11.363636363636363
MNIST,MNIST_AlexNet_9938,625,15.673981191222571
MNIST,MNIST_AlexNet_9938,630,2.037617554858934
MNIST,MNIST_AlexNet_9938,631,3.526645768025078
MNIST,MNIST_AlexNet_9938,632,2.115987460815047
MNIST,MNIST_AlexNet_9938,634,3.761755485893417
MNIST,MNIST_AlexNet_9938,635,2.3510971786833856
MNIST,MNIST_AlexNet_9938,640,11.442006269592477
MNIST,MNIST_AlexNet_9938,641,19.122257053291534
MNIST,MNIST_AlexNet_9938,642,11.442006269592477
MNIST,MNIST_AlexNet_9938,643,3.605015673981191
MNIST,MNIST_AlexNet_9938,645,17.319749216300938
MNIST,MNIST_AlexNet_9938,650,16.84952978056426
MNIST,MNIST_AlexNet_9938,651,17.711598746081506
MNIST,MNIST_AlexNet_9938,652,15.282131661442005
MNIST,MNIST_AlexNet_9938,653,1.7241379310344827
MNIST,MNIST_AlexNet_9938,654,17.398119122257054
MNIST,MNIST_AlexNet_9938,0123,2.115987460815047
MNIST,MNIST_AlexNet_9938,0124,16.379310344827587
MNIST,MNIST_AlexNet_9938,0125,5.721003134796239
MNIST,MNIST_AlexNet_9938,0126,9.482758620689655
MNIST,MNIST_AlexNet_9938,0132,2.272727272727273
MNIST,MNIST_AlexNet_9938,0134,17.476489028213166
MNIST,MNIST_AlexNet_9938,0135,3.2915360501567394
MNIST,MNIST_AlexNet_9938,0136,4.93730407523511
MNIST,MNIST_AlexNet_9938,0142,15.909090909090908
MNIST,MNIST_AlexNet_9938,0143,17.319749216300938
MNIST,MNIST_AlexNet_9938,0145,17.476489028213166
MNIST,MNIST_AlexNet_9938,0146,19.670846394984327
MNIST,MNIST_AlexNet_9938,0152,5.6426332288401255
MNIST,MNIST_AlexNet_9938,0153,2.664576802507837
MNIST,MNIST_AlexNet_9938,0154,17.398119122257054
MNIST,MNIST_AlexNet_9938,0156,18.495297805642632
MNIST,MNIST_AlexNet_9938,0162,9.404388714733543
MNIST,MNIST_AlexNet_9938,0163,3.9968652037617556
MNIST,MNIST_AlexNet_9938,0164,19.670846394984327
MNIST,MNIST_AlexNet_9938,0165,22.33542319749216
MNIST,MNIST_AlexNet_9938,0213,2.3510971786833856
MNIST,MNIST_AlexNet_9938,0214,16.30094043887147
MNIST,MNIST_AlexNet_9938,0215,5.721003134796239
MNIST,MNIST_AlexNet_9938,0216,9.717868338557993
MNIST,MNIST_AlexNet_9938,0231,2.4294670846394983
MNIST,MNIST_AlexNet_9938,0234,3.2915360501567394
MNIST,MNIST_AlexNet_9938,0235,1.09717868338558
MNIST,MNIST_AlexNet_9938,0236,2.3510971786833856
MNIST,MNIST_AlexNet_9938,0241,16.222570532915363
MNIST,MNIST_AlexNet_9938,0243,3.4482758620689653
MNIST,MNIST_AlexNet_9938,0245,9.561128526645767
MNIST,MNIST_AlexNet_9938,0246,12.225705329153605
MNIST,MNIST_AlexNet_9938,0251,5.6426332288401255
