Dataset,DNN,CMR,FR(%)
MNIST,MNIST_AlexNet_9938,431,2.39
MNIST,MNIST_AlexNet_9938,432,0.44
MNIST,MNIST_AlexNet_9938,435,0.5
MNIST,MNIST_AlexNet_9938,436,0.63
MNIST,MNIST_AlexNet_9938,450,1.09
MNIST,MNIST_AlexNet_9938,451,2.22
MNIST,MNIST_AlexNet_9938,452,1.17
MNIST,MNIST_AlexNet_9938,453,0.4
MNIST,MNIST_AlexNet_9938,456,2.18
MNIST,MNIST_AlexNet_9938,460,1.47
MNIST,MNIST_AlexNet_9938,461,2.4299999999999997
MNIST,MNIST_AlexNet_9938,462,1.44
MNIST,MNIST_AlexNet_9938,463,0.44999999999999996
MNIST,MNIST_AlexNet_9938,465,2.26
MNIST,MNIST_AlexNet_9938,501,0.66
MNIST,MNIST_AlexNet_9938,502,0.64
MNIST,MNIST_AlexNet_9938,503,0.15
MNIST,MNIST_AlexNet_9938,504,1.13
MNIST,MNIST_AlexNet_9938,506,2.19
MNIST,MNIST_AlexNet_9938,510,0.66
MNIST,MNIST_AlexNet_9938,512,0.7000000000000001
MNIST,MNIST_AlexNet_9938,513,0.38
MNIST,MNIST_AlexNet_9938,514,2.19
MNIST,MNIST_AlexNet_9938,516,2.22
MNIST,MNIST_AlexNet_9938,520,0.63
MNIST,MNIST_AlexNet_9938,521,0.72
MNIST,MNIST_AlexNet_9938,523,0.12
MNIST,MNIST_AlexNet_9938,524,1.18
MNIST,MNIST_AlexNet_9938,526,1.95
MNIST,MNIST_AlexNet_9938,530,0.13999999999999999
MNIST,MNIST_AlexNet_9938,531,0.38999999999999996
MNIST,MNIST_AlexNet_9938,532,0.13
MNIST,MNIST_AlexNet_9938,534,0.42
MNIST,MNIST_AlexNet_9938,536,0.3
MNIST,MNIST_AlexNet_9938,540,1.11
MNIST,MNIST_AlexNet_9938,541,2.16
MNIST,MNIST_AlexNet_9938,542,1.24
MNIST,MNIST_AlexNet_9938,543,0.45999999999999996
MNIST,MNIST_AlexNet_9938,546,2.08
MNIST,MNIST_AlexNet_9938,560,1.76
MNIST,MNIST_AlexNet_9938,561,2.19
MNIST,MNIST_AlexNet_9938,562,2.01
MNIST,MNIST_AlexNet_9938,563,0.19
MNIST,MNIST_AlexNet_9938,564,2.13
MNIST,MNIST_AlexNet_9938,601,1.0999999999999999
MNIST,MNIST_AlexNet_9938,602,1.0999999999999999
MNIST,MNIST_AlexNet_9938,603,0.21
MNIST,MNIST_AlexNet_9938,604,1.39
MNIST,MNIST_AlexNet_9938,605,2.18
MNIST,MNIST_AlexNet_9938,610,1.0999999999999999
MNIST,MNIST_AlexNet_9938,612,1.03
MNIST,MNIST_AlexNet_9938,613,0.44
MNIST,MNIST_AlexNet_9938,614,2.44
MNIST,MNIST_AlexNet_9938,615,2.2399999999999998
MNIST,MNIST_AlexNet_9938,620,1.1400000000000001
MNIST,MNIST_AlexNet_9938,621,1.03
MNIST,MNIST_AlexNet_9938,623,0.25
MNIST,MNIST_AlexNet_9938,624,1.4500000000000002
MNIST,MNIST_AlexNet_9938,625,2.0
MNIST,MNIST_AlexNet_9938,630,0.26
MNIST,MNIST_AlexNet_9938,631,0.44999999999999996
MNIST,MNIST_AlexNet_9938,632,0.27
MNIST,MNIST_AlexNet_9938,634,0.48
MNIST,MNIST_AlexNet_9938,635,0.3
MNIST,MNIST_AlexNet_9938,640,1.46
MNIST,MNIST_AlexNet_9938,641,2.44
MNIST,MNIST_AlexNet_9938,642,1.46
MNIST,MNIST_AlexNet_9938,643,0.45999999999999996
MNIST,MNIST_AlexNet_9938,645,2.21
MNIST,MNIST_AlexNet_9938,650,2.15
MNIST,MNIST_AlexNet_9938,651,2.26
MNIST,MNIST_AlexNet_9938,652,1.95
MNIST,MNIST_AlexNet_9938,653,0.22
MNIST,MNIST_AlexNet_9938,654,2.22
MNIST,MNIST_AlexNet_9938,0123,0.27
MNIST,MNIST_AlexNet_9938,0124,2.09
MNIST,MNIST_AlexNet_9938,0125,0.73
MNIST,MNIST_AlexNet_9938,0126,1.21
MNIST,MNIST_AlexNet_9938,0132,0.29
MNIST,MNIST_AlexNet_9938,0134,2.23
MNIST,MNIST_AlexNet_9938,0135,0.42
